incident_id,incident_type,person_trapped,injury_reported,fire_present,hospital_affected,elderly_or_children,hazardous_material,building_collapse_flag,critical_infrastructure,num_sources,ground_confirmed,agreement_ratio,recency_minutes,num_reports,severity_score,severity_class,confidence_score
1,fire,0,0,1,0,1,0,0,0,3.0,0.0,0.82,98.0,9,73,HIGH,94.8
2,flood,0,0,0,0,0,0,0,1,,0.0,0.49,39.0,9,21,LOW,83.3
3,power_outage,0,1,0,0,0,0,0,0,1.0,0.0,0.76,89.0,7,40,MEDIUM,54.7
4,power_outage,0,0,0,0,1,0,0,0,1.0,0.0,0.78,119.0,9,19,LOW,50.3
5,road_blockage,0,0,0,0,0,0,0,0,1.0,0.0,0.72,168.0,9,3,LOW,35.9
6,fire,0,0,1,0,0,0,0,1,3.0,0.0,0.64,156.0,10,76,HIGH,79.5
7,industrial_accident,1,1,0,0,1,1,0,0,3.0,0.0,0.8,73.0,15,100,CRITICAL,91.1
8,industrial_accident,0,0,0,0,1,1,0,0,2.0,1.0,0.52,168.0,19,73,HIGH,84.5
9,road_blockage,0,0,0,0,1,0,0,0,2.0,0.0,0.92,152.0,6,26,LOW,76.5
10,industrial_accident,0,0,0,0,0,1,0,1,3.0,1.0,0.28,144.0,9,73,HIGH,100.0
11,fire,0,0,1,0,0,0,0,1,1.0,0.0,,164.0,8,77,HIGH,38.0
12,medical_emergency,0,1,0,0,0,0,0,0,3.0,1.0,0.84,10.0,7,44,MEDIUM,100.0
13,medical_emergency,0,0,0,0,0,1,0,0,2.0,1.0,0.64,42.0,9,41,HIGH,90.7
14,road_blockage,0,0,0,0,0,0,0,1,3.0,0.0,0.7,117.0,29,17,LOW,79.8
15,industrial_accident,0,1,0,1,0,1,0,0,2.0,0.0,0.67,6.0,10,100,CRITICAL,77.4
16,power_outage,0,1,0,0,0,1,0,0,1.0,0.0,0.24,39.0,9,71,HIGH,42.9
17,road_blockage,0,1,0,0,1,0,0,0,1.0,1.0,0.89,75.0,5,60,HIGH,72.6
18,flood,1,0,0,0,0,1,0,1,1.0,,0.57,53.0,23,100,CRITICAL,49.4
19,building_collapse,0,0,0,0,1,1,1,1,3.0,1.0,0.95,150.0,13,100,CRITICAL,100.0
20,power_outage,0,1,0,0,1,0,0,0,2.0,0.0,1.0,167.0,11,55,MEDIUM,72.8
21,industrial_accident,1,0,0,0,1,1,0,0,3.0,0.0,0.25,55.0,17,100,CRITICAL,70.2
22,road_blockage,1,0,0,0,0,0,0,0,3.0,1.0,0.84,17.0,21,43,MEDIUM,100.0
23,medical_emergency,0,0,0,0,0,0,0,0,2.0,0.0,0.79,28.0,23,5,LOW,69.5
24,chemical_leak,0,0,0,0,0,1,0,0,,0.0,0.76,156.0,13,32,MEDIUM,62.3
25,building_collapse,0,0,0,0,0,0,1,0,2.0,0.0,0.62,147.0,9,50,MEDIUM,62.5
26,power_outage,1,0,0,0,0,0,0,0,1.0,,0.59,168.0,9,37,MEDIUM,33.8
27,medical_emergency,1,0,0,0,1,0,0,0,1.0,,,72.0,12,77,HIGH,65.4
28,building_collapse,0,0,0,0,0,1,1,0,2.0,0.0,1.0,160.0,7,100,CRITICAL,83.1
29,fire,0,1,1,0,1,0,0,0,2.0,1.0,0.87,23.0,13,100,CRITICAL,100.0
30,road_blockage,1,0,0,0,0,0,0,0,2.0,1.0,0.75,141.0,13,47,LOW,77.9
31,power_outage,0,1,0,0,0,0,0,0,2.0,0.0,,75.0,10,28,LOW,70.1
32,industrial_accident,0,1,0,0,1,1,0,0,1.0,0.0,0.81,,36,100,CRITICAL,52.8
33,building_collapse,1,0,0,0,0,0,1,0,1.0,0.0,0.71,23.0,9,99,CRITICAL,49.9
34,road_blockage,0,0,0,0,1,0,0,0,2.0,0.0,0.76,77.0,17,16,LOW,81.8
35,building_collapse,0,0,0,0,0,0,1,1,2.0,0.0,1.0,33.0,16,77,HIGH,81.4
