report_id,timestamp,text
SM0046,2026-09-11 04:53:39,"fire in gowliguda spreading fast now, lot of smoke"
SM0019,2026-09-11 04:26:39,heavy waterlogging ramanthapur main road since morning
SM0018,2026-09-11 05:09:39,"Ramanthapur flooding rn, bike got stuck halfway"
SM0026,2026-09-11 04:35:39,"Ugh stuck in ramanthapur, road is basically a river now"
SM0001,2026-09-11 03:38:39,water entering shops near ramanthapur crossing
SM0032,2026-09-11 04:28:39,ramanthapur underpass full of water again smh
SM0055,2026-09-11 04:29:39,anyone know a good electrician in ramanthapur area
SM0021,2026-09-11 03:50:39,"water on the main road in ramanthapur, can't get through"
SM0053,2026-09-11 04:11:39,match today was insane what a finish
SM0050,2026-09-11 05:16:39,anyone know a good electrician in ramanthapur area
SM0022,2026-09-11 05:11:39,"Road totally flooded near ramanthapur, cars stuck everywhere"
SM0042,2026-09-11 05:16:39,bridge on NH44 has collapsed!! do not go that way
SM0035,2026-09-11 05:15:39,heavy waterlogging ramanthapur main road since morning
SM0028,2026-09-11 03:47:39,"Water on the main road in ramanthapur, can't get through"
SM0034,2026-09-11 03:35:39,"Road totally flooded near ramanthapur, cars stuck everywhere"
SM0005,2026-09-11 04:39:39,Ramanthapur underpass full of water again smh
SM0003,2026-09-11 04:12:39,"Flooding near ramanthapur bus stand, avoid the area"
SM0045,2026-09-11 04:34:39,"small fire spotted near a shop in gowliguda, not too bad yet"
SM0030,2026-09-11 04:06:39,Water entering shops near ramanthapur crossing
SM0048,2026-09-11 05:25:39,"gowliguda fire -- people trapped on the floor above, need help NOW"
SM0044,2026-09-11 05:21:39,"heard NH44 bridge collapsed, can anyone confirm??"
SM0047,2026-09-11 05:10:39,"gowliguda fire getting worse, someone said people stuck upstairs??"
SM0014,2026-09-11 03:53:39,"knee deep water on ramanthapur main rd, traffic backed up for km"
SM0029,2026-09-11 04:18:39,"Water on the main road in ramanthapur, can't get through"
SM0039,2026-09-11 05:19:39,OMG building just collapsed near central market!! people running everywhere
SM0023,2026-09-11 03:47:39,water entering shops near ramanthapur crossing
SM0024,2026-09-11 04:05:39,someone tell BBMP the ramanthapur road is flooded AGAIN
SM0008,2026-09-11 03:59:39,water entering shops near ramanthapur crossing
SM0052,2026-09-11 04:56:39,just had the best biryani near central market omg
SM0017,2026-09-11 04:48:39,"knee deep water on ramanthapur main rd, traffic backed up for km"
SM0002,2026-09-11 04:02:39,water entering shops near ramanthapur crossing
SM0033,2026-09-11 04:50:39,"water on the main road in ramanthapur, can't get through"
SM0007,2026-09-11 04:27:39,"road totally flooded near ramanthapur, cars stuck everywhere"
SM0004,2026-09-11 03:36:39,water entering shops near ramanthapur crossing
SM0027,2026-09-11 03:40:39,"road totally flooded near ramanthapur, cars stuck everywhere"
SM0006,2026-09-11 03:34:39,Ramanthapur underpass full of water again smh
SM0054,2026-09-11 04:40:39,"traffic on the ring road is bad as usual, nothing new"
SM0051,2026-09-11 04:13:39,does anyone have updates on the cricket score
SM0043,2026-09-11 05:21:39,"NH44 bridge down, massive pileup forming, turn back now"
SM0036,2026-09-11 04:00:39,"Flooding near ramanthapur bus stand, avoid the area"
SM0049,2026-09-11 05:04:39,"weird chemical smell near the industrial area, anyone else smell that or is it just me"
SM0011,2026-09-11 03:38:39,"flooding near ramanthapur bus stand, avoid the area"
SM0013,2026-09-11 03:56:39,"flooding near ramanthapur bus stand, avoid the area"
SM0016,2026-09-11 05:07:39,someone tell BBMP the ramanthapur road is flooded AGAIN
SM0040,2026-09-11 05:23:39,"heard a huge crash near central market, dust everywhere, someone said building fell"
SM0015,2026-09-11 04:42:39,"water on the main road in ramanthapur, can't get through"
SM0020,2026-09-11 04:28:39,"water on the main road in ramanthapur, can't get through"
SM0010,2026-09-11 04:53:39,"Water on the main road in ramanthapur, can't get through"
SM0041,2026-09-11 05:24:39,"building collapse central market area, can see rescue people arriving"
SM0012,2026-09-11 04:02:39,water entering shops near ramanthapur crossing
SM0025,2026-09-11 04:43:39,"flooding near ramanthapur bus stand, avoid the area"
SM0009,2026-09-11 04:10:39,ramanthapur underpass full of water again smh
SM0037,2026-09-11 04:59:39,Heavy waterlogging ramanthapur main road since morning
SM0031,2026-09-11 04:53:39,"flooding near ramanthapur bus stand, avoid the area"
SM0038,2026-09-11 05:16:39,"flooding near ramanthapur bus stand, avoid the area"
